"Site","Date","floral_richness","faunal_richness","OC_pct","OM_pct","AN_mg_kg","Ap_mg_kg","AK_mg_kg","Fe_mg_kg","Cu_mg_kg","Zn_mg_kg","Mn_mg_kg","Al_mg_kg","As_mg_kg","B_mg_kg","Ba_mg_kg","Cd_mg_kg","Ni_mg_kg","Co_mg_kg","Cr_mg_kg","Pb_mg_kg","Se_mg_kg","V_mg_kg","Index"
"PMD","2025-01-01",32,9,0.2335,0.4203,33.8867,90.0327,48.35,69472.3,22.3063,58.5747,5304.5533,13967.59,37.6417,46.9963,626.73,0.3076,39.9073,19.7317,70.932,14.6223,21.601,47.4987,10
"PMD","2025-02-01",20,10,0.2335,0.4203,33.8867,90.0327,48.35,69472.3,22.3063,58.5747,5304.5533,13967.59,37.6417,46.9963,626.73,0.3076,39.9073,19.7317,70.932,14.6223,21.601,47.4987,11
"PMD","2025-03-01",29,7,0.2335,0.4203,33.8867,90.0327,48.35,69472.3,22.3063,58.5747,5304.5533,13967.59,37.6417,46.9963,626.73,0.3076,39.9073,19.7317,70.932,14.6223,21.601,47.4987,12
"PMD","2025-04-01",27,9,0.2288,0.4584,33.0833,94.3717,48.3333,69644.4867,24.2633,57.9733,5550.3233,14250.13,39.7553,48.7443,647.7467,0.2961,40.307,21.57,76.447,14.696,21.857,45.958,13
"PMD","2025-05-01",21,7,0.2288,0.4584,33.0833,94.3717,48.3333,69644.4867,24.2633,57.9733,5550.3233,14250.13,39.7553,48.7443,647.7467,0.2961,40.307,21.57,76.447,14.696,21.857,45.958,14
"PMD","2025-06-01",28,9,0.2288,0.4584,33.0833,94.3717,48.3333,69644.4867,24.2633,57.9733,5550.3233,14250.13,39.7553,48.7443,647.7467,0.2961,40.307,21.57,76.447,14.696,21.857,45.958,15
"PMD","2025-07-01",25,9,0.2288,0.4584,33.0833,94.3717,48.3333,69644.4867,24.2633,57.9733,5550.3233,14250.13,39.7553,48.7443,647.7467,0.2961,40.307,21.57,76.447,14.696,21.857,45.958,16
"PMD","2025-08-01",24,10,0.2288,0.4584,33.0833,94.3717,48.3333,69644.4867,24.2633,57.9733,5550.3233,14250.13,39.7553,48.7443,647.7467,0.2961,40.307,21.57,76.447,14.696,21.857,45.958,17
"PMD","2025-09-01",26,9,0.2288,0.4584,33.0833,94.3717,48.3333,69644.4867,24.2633,57.9733,5550.3233,14250.13,39.7553,48.7443,647.7467,0.2961,40.307,21.57,76.447,14.696,21.857,45.958,18
"PMD","2025-10-01",27,9,0.2288,0.4584,33.0833,94.3717,48.3333,69644.4867,24.2633,57.9733,5550.3233,14250.13,39.7553,48.7443,647.7467,0.2961,40.307,21.57,76.447,14.696,21.857,45.958,19
"PMD","2025-11-01",38,10,0.2288,0.4584,33.0833,94.3717,48.3333,69644.4867,24.2633,57.9733,5550.3233,14250.13,39.7553,48.7443,647.7467,0.2961,40.307,21.57,76.447,14.696,21.857,45.958,20
"PMD","2025-12-01",22,9,0.2288,0.4584,33.0833,94.3717,48.3333,69644.4867,24.2633,57.9733,5550.3233,14250.13,39.7553,48.7443,647.7467,0.2961,40.307,21.57,76.447,14.696,21.857,45.958,21
"PMD","2026-01-01",23,9,0.2288,0.4584,33.0833,94.3717,48.3333,69644.4867,24.2633,57.9733,5550.3233,14250.13,39.7553,48.7443,647.7467,0.2961,40.307,21.57,76.447,14.696,21.857,45.958,22
"PMD","2026-02-01",22,11,0.2288,0.4584,33.0833,94.3717,48.3333,69644.4867,24.2633,57.9733,5550.3233,14250.13,39.7553,48.7443,647.7467,0.2961,40.307,21.57,76.447,14.696,21.857,45.958,23
"PMD","2026-03-01",24,6,0.2288,0.4584,33.0833,94.3717,48.3333,69644.4867,24.2633,57.9733,5550.3233,14250.13,39.7553,48.7443,647.7467,0.2961,40.307,21.57,76.447,14.696,21.857,45.958,24
"PMD","2026-04-01",24,10,0.2288,0.4584,33.0833,94.3717,48.3333,69644.4867,24.2633,57.9733,5550.3233,14250.13,39.7553,48.7443,647.7467,0.2961,40.307,21.57,76.447,14.696,21.857,45.958,25
"RE","2024-04-01",93,43,0.4584,0.7496,51.6333,131.2853,84.2067,21961.8,8.0993,21.5523,1994.9233,6587.9267,12.6943,18.233,245.03,0.1098,13.474,8.0127,27.6617,5.7203,7.012,26.6877,1
"RE","2024-05-01",98,42,0.4584,0.7496,51.6333,131.2853,84.2067,21961.8,8.0993,21.5523,1994.9233,6587.9267,12.6943,18.233,245.03,0.1098,13.474,8.0127,27.6617,5.7203,7.012,26.6877,2
"RE","2024-06-01",98,38,0.4584,0.7496,51.6333,131.2853,84.2067,21961.8,8.0993,21.5523,1994.9233,6587.9267,12.6943,18.233,245.03,0.1098,13.474,8.0127,27.6617,5.7203,7.012,26.6877,3
"RE","2024-07-01",98,38,0.4584,0.7496,51.6333,131.2853,84.2067,21961.8,8.0993,21.5523,1994.9233,6587.9267,12.6943,18.233,245.03,0.1098,13.474,8.0127,27.6617,5.7203,7.012,26.6877,4
"RE","2024-08-01",98,43,0.4584,0.7496,51.6333,131.2853,84.2067,21961.8,8.0993,21.5523,1994.9233,6587.9267,12.6943,18.233,245.03,0.1098,13.474,8.0127,27.6617,5.7203,7.012,26.6877,5
"RE","2024-09-01",93,38,0.4584,0.7496,51.6333,131.2853,84.2067,21961.8,8.0993,21.5523,1994.9233,6587.9267,12.6943,18.233,245.03,0.1098,13.474,8.0127,27.6617,5.7203,7.012,26.6877,6
"RE","2024-10-01",92,38,0.4584,0.7496,51.6333,131.2853,84.2067,21961.8,8.0993,21.5523,1994.9233,6587.9267,12.6943,18.233,245.03,0.1098,13.474,8.0127,27.6617,5.7203,7.012,26.6877,7
"RE","2024-11-01",91,43,0.4584,0.7496,51.6333,131.2853,84.2067,21961.8,8.0993,21.5523,1994.9233,6587.9267,12.6943,18.233,245.03,0.1098,13.474,8.0127,27.6617,5.7203,7.012,26.6877,8
"RE","2024-12-01",93,43,0.4584,0.7496,51.6333,131.2853,84.2067,21961.8,8.0993,21.5523,1994.9233,6587.9267,12.6943,18.233,245.03,0.1098,13.474,8.0127,27.6617,5.7203,7.012,26.6877,9
"RE","2025-01-01",94,43,0.4584,0.7496,51.6333,131.2853,84.2067,21961.8,8.0993,21.5523,1994.9233,6587.9267,12.6943,18.233,245.03,0.1098,13.474,8.0127,27.6617,5.7203,7.012,26.6877,10
"RE","2025-02-01",93,43,0.4584,0.7496,51.6333,131.2853,84.2067,21961.8,8.0993,21.5523,1994.9233,6587.9267,12.6943,18.233,245.03,0.1098,13.474,8.0127,27.6617,5.7203,7.012,26.6877,11
"RE","2025-03-01",98,38,0.4584,0.7496,51.6333,131.2853,84.2067,21961.8,8.0993,21.5523,1994.9233,6587.9267,12.6943,18.233,245.03,0.1098,13.474,8.0127,27.6617,5.7203,7.012,26.6877,12
"RE","2025-04-01",98,43,0.4551,0.7351,54.1033,126.8883,90.79,24985.4033,9.757,20.6177,1603.4667,6501.8533,10.8477,18.6707,241.29,0.1111,13.11,8.45,28.0723,4.8447,8.2333,26.928,13
"RE","2025-05-01",95,43,0.4551,0.7351,54.1033,126.8883,90.79,24985.4033,9.757,20.6177,1603.4667,6501.8533,10.8477,18.6707,241.29,0.1111,13.11,8.45,28.0723,4.8447,8.2333,26.928,14
"RE","2025-06-01",93,43,0.4551,0.7351,54.1033,126.8883,90.79,24985.4033,9.757,20.6177,1603.4667,6501.8533,10.8477,18.6707,241.29,0.1111,13.11,8.45,28.0723,4.8447,8.2333,26.928,15
"RE","2025-07-01",96,40,0.4551,0.7351,54.1033,126.8883,90.79,24985.4033,9.757,20.6177,1603.4667,6501.8533,10.8477,18.6707,241.29,0.1111,13.11,8.45,28.0723,4.8447,8.2333,26.928,16
"RE","2025-08-01",97,38,0.4551,0.7351,54.1033,126.8883,90.79,24985.4033,9.757,20.6177,1603.4667,6501.8533,10.8477,18.6707,241.29,0.1111,13.11,8.45,28.0723,4.8447,8.2333,26.928,17
"RE","2025-09-01",94,43,0.4551,0.7351,54.1033,126.8883,90.79,24985.4033,9.757,20.6177,1603.4667,6501.8533,10.8477,18.6707,241.29,0.1111,13.11,8.45,28.0723,4.8447,8.2333,26.928,18
"RE","2025-10-01",94,43,0.4551,0.7351,54.1033,126.8883,90.79,24985.4033,9.757,20.6177,1603.4667,6501.8533,10.8477,18.6707,241.29,0.1111,13.11,8.45,28.0723,4.8447,8.2333,26.928,19
"RE","2025-11-01",90,38,0.4551,0.7351,54.1033,126.8883,90.79,24985.4033,9.757,20.6177,1603.4667,6501.8533,10.8477,18.6707,241.29,0.1111,13.11,8.45,28.0723,4.8447,8.2333,26.928,20
"RE","2025-12-01",90,42,0.4551,0.7351,54.1033,126.8883,90.79,24985.4033,9.757,20.6177,1603.4667,6501.8533,10.8477,18.6707,241.29,0.1111,13.11,8.45,28.0723,4.8447,8.2333,26.928,21
"RE","2026-01-01",98,43,0.4551,0.7351,54.1033,126.8883,90.79,24985.4033,9.757,20.6177,1603.4667,6501.8533,10.8477,18.6707,241.29,0.1111,13.11,8.45,28.0723,4.8447,8.2333,26.928,22
"RE","2026-02-01",90,43,0.4551,0.7351,54.1033,126.8883,90.79,24985.4033,9.757,20.6177,1603.4667,6501.8533,10.8477,18.6707,241.29,0.1111,13.11,8.45,28.0723,4.8447,8.2333,26.928,23
"RE","2026-03-01",91,43,0.4551,0.7351,54.1033,126.8883,90.79,24985.4033,9.757,20.6177,1603.4667,6501.8533,10.8477,18.6707,241.29,0.1111,13.11,8.45,28.0723,4.8447,8.2333,26.928,24
"RE","2026-04-01",93,41,0.4551,0.7351,54.1033,126.8883,90.79,24985.4033,9.757,20.6177,1603.4667,6501.8533,10.8477,18.6707,241.29,0.1111,13.11,8.45,28.0723,4.8447,8.2333,26.928,25
"UMD","2024-04-01",9,1,0.134,0.2491,23.5367,73.918,28.34,86773.08,30.5067,71.4497,6988.65,16440.45,50.4607,58.5687,809.9533,0.3761,50.1583,28.5247,94.744,18.8983,29.6713,55.517,1
"UMD","2024-05-01",13,3,0.134,0.2491,23.5367,73.918,28.34,86773.08,30.5067,71.4497,6988.65,16440.45,50.4607,58.5687,809.9533,0.3761,50.1583,28.5247,94.744,18.8983,29.6713,55.517,2
"UMD","2024-06-01",10,3,0.134,0.2491,23.5367,73.918,28.34,86773.08,30.5067,71.4497,6988.65,16440.45,50.4607,58.5687,809.9533,0.3761,50.1583,28.5247,94.744,18.8983,29.6713,55.517,3
"UMD","2024-07-01",10,2,0.134,0.2491,23.5367,73.918,28.34,86773.08,30.5067,71.4497,6988.65,16440.45,50.4607,58.5687,809.9533,0.3761,50.1583,28.5247,94.744,18.8983,29.6713,55.517,4
"UMD","2024-08-01",9,2,0.134,0.2491,23.5367,73.918,28.34,86773.08,30.5067,71.4497,6988.65,16440.45,50.4607,58.5687,809.9533,0.3761,50.1583,28.5247,94.744,18.8983,29.6713,55.517,5
"UMD","2024-09-01",11,3,0.134,0.2491,23.5367,73.918,28.34,86773.08,30.5067,71.4497,6988.65,16440.45,50.4607,58.5687,809.9533,0.3761,50.1583,28.5247,94.744,18.8983,29.6713,55.517,6
"UMD","2024-10-01",9,3,0.134,0.2491,23.5367,73.918,28.34,86773.08,30.5067,71.4497,6988.65,16440.45,50.4607,58.5687,809.9533,0.3761,50.1583,28.5247,94.744,18.8983,29.6713,55.517,7
"UMD","2024-11-01",9,3,0.134,0.2491,23.5367,73.918,28.34,86773.08,30.5067,71.4497,6988.65,16440.45,50.4607,58.5687,809.9533,0.3761,50.1583,28.5247,94.744,18.8983,29.6713,55.517,8
"UMD","2024-12-01",9,3,0.134,0.2491,23.5367,73.918,28.34,86773.08,30.5067,71.4497,6988.65,16440.45,50.4607,58.5687,809.9533,0.3761,50.1583,28.5247,94.744,18.8983,29.6713,55.517,9
"UMD","2025-01-01",9,3,0.134,0.2491,23.5367,73.918,28.34,86773.08,30.5067,71.4497,6988.65,16440.45,50.4607,58.5687,809.9533,0.3761,50.1583,28.5247,94.744,18.8983,29.6713,55.517,10
"UMD","2025-02-01",9,2,0.134,0.2491,23.5367,73.918,28.34,86773.08,30.5067,71.4497,6988.65,16440.45,50.4607,58.5687,809.9533,0.3761,50.1583,28.5247,94.744,18.8983,29.6713,55.517,11
"UMD","2025-03-01",9,3,0.134,0.2491,23.5367,73.918,28.34,86773.08,30.5067,71.4497,6988.65,16440.45,50.4607,58.5687,809.9533,0.3761,50.1583,28.5247,94.744,18.8983,29.6713,55.517,12
"UMD","2025-04-01",11,3,0.1608,0.2637,23.9767,75.2383,30.6067,92063.8267,31.2847,75.718,7529.1567,17074.76,51.9177,59.9123,842.2167,0.4097,52.967,28.0183,91.426,19.904,28.5103,59.4793,13
"UMD","2025-05-01",9,3,0.1608,0.2637,23.9767,75.2383,30.6067,92063.8267,31.2847,75.718,7529.1567,17074.76,51.9177,59.9123,842.2167,0.4097,52.967,28.0183,91.426,19.904,28.5103,59.4793,14
"UMD","2025-06-01",10,2,0.1608,0.2637,23.9767,75.2383,30.6067,92063.8267,31.2847,75.718,7529.1567,17074.76,51.9177,59.9123,842.2167,0.4097,52.967,28.0183,91.426,19.904,28.5103,59.4793,15
"UMD","2025-07-01",10,3,0.1608,0.2637,23.9767,75.2383,30.6067,92063.8267,31.2847,75.718,7529.1567,17074.76,51.9177,59.9123,842.2167,0.4097,52.967,28.0183,91.426,19.904,28.5103,59.4793,16
"UMD","2025-08-01",10,4,0.1608,0.2637,23.9767,75.2383,30.6067,92063.8267,31.2847,75.718,7529.1567,17074.76,51.9177,59.9123,842.2167,0.4097,52.967,28.0183,91.426,19.904,28.5103,59.4793,17
"UMD","2025-09-01",10,3,0.1608,0.2637,23.9767,75.2383,30.6067,92063.8267,31.2847,75.718,7529.1567,17074.76,51.9177,59.9123,842.2167,0.4097,52.967,28.0183,91.426,19.904,28.5103,59.4793,18
"UMD","2025-10-01",10,3,0.1608,0.2637,23.9767,75.2383,30.6067,92063.8267,31.2847,75.718,7529.1567,17074.76,51.9177,59.9123,842.2167,0.4097,52.967,28.0183,91.426,19.904,28.5103,59.4793,19
"UMD","2025-11-01",10,3,0.1608,0.2637,23.9767,75.2383,30.6067,92063.8267,31.2847,75.718,7529.1567,17074.76,51.9177,59.9123,842.2167,0.4097,52.967,28.0183,91.426,19.904,28.5103,59.4793,20
"UMD","2025-12-01",9,2,0.1608,0.2637,23.9767,75.2383,30.6067,92063.8267,31.2847,75.718,7529.1567,17074.76,51.9177,59.9123,842.2167,0.4097,52.967,28.0183,91.426,19.904,28.5103,59.4793,21
"UMD","2026-01-01",10,3,0.1608,0.2637,23.9767,75.2383,30.6067,92063.8267,31.2847,75.718,7529.1567,17074.76,51.9177,59.9123,842.2167,0.4097,52.967,28.0183,91.426,19.904,28.5103,59.4793,22
"UMD","2026-02-01",9,1,0.1608,0.2637,23.9767,75.2383,30.6067,92063.8267,31.2847,75.718,7529.1567,17074.76,51.9177,59.9123,842.2167,0.4097,52.967,28.0183,91.426,19.904,28.5103,59.4793,23
"UMD","2026-03-01",9,2,0.1608,0.2637,23.9767,75.2383,30.6067,92063.8267,31.2847,75.718,7529.1567,17074.76,51.9177,59.9123,842.2167,0.4097,52.967,28.0183,91.426,19.904,28.5103,59.4793,24
"UMD","2026-04-01",12,3,0.1608,0.2637,23.9767,75.2383,30.6067,92063.8267,31.2847,75.718,7529.1567,17074.76,51.9177,59.9123,842.2167,0.4097,52.967,28.0183,91.426,19.904,28.5103,59.4793,25
